,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.634172584117,0.633506594462,0.636725611094,0.00675944803396,0.00559127782303,0.00641749284821
autos,0.358843988446,0.390579533909,0.361572912174,0.0743572758411,0.0473067624437,0.0738594385039
balance-scale,0.0793618868016,0.0798436869072,0.0792455000442,0.0239725121204,0.0253537422544,0.0236217614664
car,0.103789250513,0.104485795292,0.103294029854,0.0198494326552,0.0198596083173,0.0196128235272
cleveland,0.407698047586,0.407743339632,0.406351777792,0.0908957876122,0.0904992339772,0.0888654166607
credit-approval,0.352138748301,0.353409632958,0.350574734155,0.0633250476316,0.0638393930117,0.0627167571485
dermatology,0.00466080212175,0.00223739981189,0.00466678281964,0.01032518555,0.00636486491825,0.0103176677781
diabetes,0.48808344415,0.490003420816,0.491671280688,0.0315248916136,0.0296287808628,0.0318848019334
ecoli,0.12629301741,0.12832739692,0.127313440093,0.103899564861,0.104099688724,0.107900908419
flare,0.447457470157,0.446513318853,0.44881526849,0.0192144873267,0.0180917032534,0.0194848300921
german,0.498053439191,0.498638993672,0.497235085449,0.0261477679617,0.0256158885718,0.0253863090875
glass,0.519331570219,0.527953335013,0.519972070663,0.0926497825991,0.0818052638711,0.0868138485703
heart-statlog,0.402165673217,0.401420114179,0.399819178933,0.0841909566915,0.0827447996209,0.079582330083
hepatitis,0.404937252603,0.41481117592,0.401863767472,0.113623359366,0.0925877264732,0.109884605097
horse,0.372309338927,0.375094227505,0.369529976157,0.0642521513263,0.0606523295312,0.0636499413533
ionosphere,0.157009325859,0.16181457931,0.155142207682,0.0708089152022,0.0641696372465,0.0690442896632
iris,0.0042897683585,0.00468121644579,0.00427928111915,0.00915810463584,0.00960597147822,0.00913030187609
landsat-satellite,0.0324714949106,0.0325139919859,0.0328290326362,0.00710179621371,0.0071666148008,0.00724183191535
letter,0.00723369020757,0.00892039956649,0.00722071016163,0.0015369263683,0.00164583311118,0.0015265365394
libras-movement,0.0731910358462,0.0824482563395,0.0735862920144,0.0876517672088,0.0458032710059,0.0891255852416
lung-cancer,0.00324028075841,0.133225126097,0.00333262009344,0.00666649794155,0.540524995572,0.0074787137243
mfeat-karhunen,0.0161111597024,0.0187644688878,0.0159807926477,0.0131624816699,0.0131414538404,0.0130308986945
mfeat-morphological,0.0133575512003,0.0124179872138,0.0133195070071,0.0180105381587,0.0168117353867,0.0179845780313
mfeat-zernike,0.0228448655614,0.022888724694,0.0216706345762,0.0127203781127,0.0129893801987,0.0115085059398
mushroom,2.6606757843e-05,2.40711113758e-05,2.71764624705e-05,5.67469144404e-05,5.91430947484e-05,5.8643075255e-05
optdigits,0.0141194334663,0.0166279892108,0.0139893256035,0.00622553333911,0.00630206337375,0.00620055467569
page-blocks,0.0987774610842,0.103059339094,0.106117767895,0.0115239443216,0.0105424639235,0.0125529081528
pendigits,0.00576139260967,0.0057705932976,0.00548493968894,0.00267280281465,0.00260533407327,0.00238619305485
scene-classification,0.342935093168,0.345660391458,0.34310343534,0.0209974548722,0.0193712805976,0.021600948412
segment,0.015294810784,0.0156953555207,0.0153123645648,0.011634850932,0.0106579554349,0.0113963454212
shuttle,0.00362391654426,0.00389076772689,0.00363055061071,0.000774977586477,0.00080309825358,0.000793099638191
sonar,0.332597030284,0.343518817246,0.335336583753,0.0793969109985,0.0776532630977,0.0814829096931
spambase,0.192605112467,0.194087936585,0.195025026617,0.0205251124161,0.0207091293653,0.0213277791346
tic-tac,0.232449672182,0.273358414805,0.232120257955,0.0273652495704,0.0280701980474,0.0272388219138
vehicle,0.0744228965568,0.076438877143,0.0741006374287,0.0275345066929,0.0270733288493,0.0271671823705
vowel,0.0515830210105,0.0590846244782,0.0513543692447,0.0208041737161,0.0217320584719,0.0208529084539
waveform-5000,0.236427216771,0.236789164232,0.236187348851,0.0156396947788,0.0157378921928,0.0157113489865
wdbc,0.0766275891353,0.0765941395058,0.0788252110766,0.033391278045,0.0329388104869,0.0355008808262
wpbc,0.497719639545,0.497962854723,0.49612046945,0.0605369724185,0.0478842168988,0.057410643123
yeast,0.510622893005,0.511739295711,0.514847163298,0.0223468420665,0.0189758344263,0.0233138777883
zoo,0.00580084237016,0.0082010785153,0.00586185594395,0.0120231730375,0.0164573579808,0.0121322456144
