,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.639009625028,0.636725611094,0.627809724824,0.637488066249,0.0069856646794,0.00641749284821,0.0311854543424,0.00618755233875
autos,0.469855701932,0.361572912174,0.577599996472,0.364930546765,0.031473743717,0.0738594385039,0.514111149163,0.0737854304147
balance-scale,0.233381644002,0.0792455000442,0.126368369772,0.0791797904509,0.0147557663572,0.0236217614664,0.14164092953,0.0239531973311
car,0.298783807784,0.103294029854,0.11381584971,0.103966058573,0.0101296496464,0.0196128235272,0.0488816392457,0.0200256729822
cleveland,0.456908517469,0.406351777792,0.704866791817,0.405864149119,0.0437346426204,0.0888654166607,0.489468625199,0.087615549514
credit-approval,0.424795083775,0.350574734155,0.515612490331,0.351622738562,0.0278498809822,0.0627167571485,0.249124007027,0.061880566861
dermatology,0.283520724127,0.00466678281964,0.00426874247334,0.00455686621184,0.00894488105665,0.0103176677781,0.00568951095786,0.0102713738046
diabetes,0.509124568697,0.491671280688,0.572884274645,0.494934154951,0.0204252357147,0.0318848019334,0.14233864586,0.0323595402307
ecoli,0.259417691736,0.127313440093,0.355960241706,0.120475325354,0.0279700963664,0.107900908419,0.504218067258,0.094805360593
flare,0.485984186901,0.44881526849,0.481567991348,0.44861894355,0.0115241834789,0.0194848300921,0.0424640648126,0.0195086442705
german,0.5157417668,0.497235085449,0.558252219904,0.498309355546,0.0147706041652,0.0253863090875,0.110808278536,0.0244905799986
glass,0.533465699981,0.519972070663,0.847777918639,0.518847957212,0.0455433685874,0.0868138485703,0.652508129438,0.0856474174793
heart-statlog,0.452373035068,0.399819178933,0.820473550215,0.39864656196,0.0386412652277,0.079582330083,0.598049267379,0.0787148784888
hepatitis,0.458634207517,0.401863767472,1.0115064679,0.400842819885,0.0342427481664,0.109884605097,1.15471637243,0.107128699273
horse,0.454070214415,0.369529976157,0.679894756799,0.368915735535,0.025377962179,0.0636499413533,0.481300597273,0.0632604093734
ionosphere,0.339776648795,0.155142207682,0.376542679425,0.154743806823,0.0200662941891,0.0690442896632,0.383795847697,0.0679290068837
iris,0.28683833065,0.00427928111915,0.00619749915874,0.00429806610502,0.00736953076287,0.00913030187609,0.00922359417709,0.00923789300056
landsat-satellite,0.165460515197,0.0328290326362,0.0419819985932,0.0335123598184,0.00433098815818,0.00724183191535,0.0187849683325,0.00744058908783
letter,0.0972871194494,0.00722071016163,0.00960904786373,0.00734683613182,0.00172757758323,0.0015265365394,0.00360468971775,0.00158661700562
libras-movement,0.293903810152,0.0735862920144,0.141304228343,0.0706788885506,0.011107760828,0.0891255852416,0.207053310289,0.0820927912175
lung-cancer,0.346268359192,0.00333262009344,0.0111685787166,0.00283973770576,0.0110212426306,0.0074787137243,0.0142929742669,0.0059671315547
mfeat-karhunen,0.257892541461,0.0159807926477,0.0317864130116,0.0157861754323,0.00348951999038,0.0130308986945,0.0446360349434,0.0127354250325
mfeat-morphological,0.291801157375,0.0133195070071,0.0329067102547,0.0134077325439,0.00303736093777,0.0179845780313,0.0606933180309,0.0180959115968
mfeat-zernike,0.215228920442,0.0216706345762,0.052878079975,0.021628499689,0.00558843690127,0.0115085059398,0.0464215965358,0.0115755230842
mushroom,0.280955575831,2.71764624705e-05,3.65241610937e-05,2.3841378954e-05,0.000725168023054,5.8643075255e-05,7.43178534913e-05,5.57342154401e-05
optdigits,0.184384134927,0.0139893256035,0.0278760309977,0.0139921410955,0.00313823874664,0.00620055467569,0.025439512135,0.00607150064345
page-blocks,0.264357973411,0.106117767895,0.102991699745,0.108353997862,0.00515641343344,0.0125529081528,0.0250441420479,0.0125004345669
pendigits,0.117292375759,0.00548493968894,0.0114856123631,0.00537149601246,0.00294652019182,0.00238619305485,0.00935586678272,0.00231051716929
scene-classification,0.417528240247,0.34310343534,0.384822271914,0.345101513848,0.0100782046094,0.021600948412,0.0660626517675,0.0218222316683
segment,0.185488045787,0.0153123645648,0.0416127316257,0.015640059499,0.00475705388913,0.0113963454212,0.0552739085284,0.0116529030998
shuttle,0.115197511908,0.00363055061071,0.00399999822683,0.0036002189976,0.00104109589521,0.000793099638191,0.00150755204093,0.000758300977567
sonar,0.479480315959,0.335336583753,0.519844604224,0.336984106322,0.025820133667,0.0814829096931,0.494959235992,0.0817335537016
spambase,0.294824632682,0.195025026617,0.214964997519,0.193278079754,0.00864606597771,0.0213277791346,0.0511251141433,0.0200235989219
tic-tac,0.426170856147,0.232120257955,0.238858184264,0.23293358056,0.0101820481357,0.0272388219138,0.0472989004325,0.0276963221664
vehicle,0.279195578137,0.0741006374287,0.120149869298,0.0746771102387,0.0120053730177,0.0271671823705,0.115759363392,0.0273713126521
vowel,0.200091713032,0.0513543692447,0.0619363196465,0.0519551772158,0.00834208518162,0.0208529084539,0.0612750301487,0.0213340833074
waveform-5000,0.303574803334,0.236187348851,0.257672937249,0.23904874548,0.00892701124775,0.0157113489865,0.0389407964174,0.015615793859
wdbc,0.244527854795,0.0788252110766,0.153531987401,0.0778385812666,0.0143371491294,0.0355008808262,0.159977719375,0.0342734623562
wpbc,0.519834714093,0.49612046945,0.857629712242,0.496921011146,0.0192772858876,0.057410643123,0.631187429265,0.0582199687056
yeast,0.526468177916,0.514847163298,0.553306790725,0.518813233827,0.0163623373782,0.0233138777883,0.0841733161886,0.0232401746097
zoo,0.321225876812,0.00586185594395,0.00955497365587,0.00567251684964,0.0139149486204,0.0121322456144,0.0128054514816,0.0119498029747
