,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.640123118709,0.639009625028,0.00775468854122,0.0069856646794
abalone,beta,0.641225978563,0.634172584117,0.0097244741527,0.00675944803396
abalone,beta_ab,0.635932724736,0.633506594462,0.00672621533361,0.00559127782303
abalone,beta_am,0.640985110051,0.636725611094,0.00908553299312,0.00641749284821
abalone,isotonic,0.638306566774,0.627809724824,0.0129576712465,0.0311854543424
abalone,sigmoid,0.641104469898,0.637488066249,0.00918006611648,0.00618755233875
autos,None,0.813192043447,0.469855701932,0.0543439678138,0.031473743717
autos,beta,0.838826785406,0.358843988446,0.0596969467543,0.0743572758411
autos,beta_ab,0.804649154884,0.390579533909,0.0564201652307,0.0473067624437
autos,beta_am,0.83497959904,0.361572912174,0.0620287066891,0.0738594385039
autos,isotonic,0.825802474377,0.577599996472,0.059740244037,0.514111149163
autos,sigmoid,0.83393466696,0.364930546765,0.0620048185535,0.0737854304147
balance-scale,None,0.965891811222,0.233381644002,0.0164558190908,0.0147557663572
balance-scale,beta,0.966211769261,0.0793618868016,0.0159476935277,0.0239725121204
balance-scale,beta_ab,0.965891811222,0.0798436869072,0.0164558190908,0.0253537422544
balance-scale,beta_am,0.965734267481,0.0792455000442,0.0165640116683,0.0236217614664
balance-scale,isotonic,0.966214391867,0.126368369772,0.0157562532269,0.14164092953
balance-scale,sigmoid,0.965734267481,0.0791797904509,0.0165640116683,0.0239531973311
car,None,0.949654523457,0.298783807784,0.0133016449275,0.0101296496464
car,beta,0.949944885065,0.103789250513,0.0139045388635,0.0198494326552
car,beta_ab,0.949654523457,0.104485795292,0.0133016449275,0.0198596083173
car,beta_am,0.950117623336,0.103294029854,0.014117940242,0.0196128235272
car,isotonic,0.948670856298,0.11381584971,0.0148300040721,0.0488816392457
car,sigmoid,0.950348837209,0.103966058573,0.0138359200685,0.0200256729822
cleveland,None,0.829958503799,0.456908517469,0.0493450502254,0.0437346426204
cleveland,beta,0.828602376778,0.407698047586,0.049410596356,0.0908957876122
cleveland,beta_ab,0.829958503799,0.407743339632,0.0493450502254,0.0904992339772
cleveland,beta_am,0.827907071888,0.406351777792,0.0488322300368,0.0888654166607
cleveland,isotonic,0.826556399766,0.704866791817,0.0489814083591,0.489468625199
cleveland,sigmoid,0.828251899474,0.405864149119,0.049014686199,0.087615549514
credit-approval,None,0.862015534084,0.424795083775,0.0294172282764,0.0278498809822
credit-approval,beta,0.862323226392,0.352138748301,0.0310164948019,0.0633250476316
credit-approval,beta_ab,0.862015534084,0.353409632958,0.0294172282764,0.0638393930117
credit-approval,beta_am,0.861707877364,0.350574734155,0.0310358795032,0.0627167571485
credit-approval,isotonic,0.860331429385,0.515612490331,0.028802225681,0.249124007027
